Wall time,Step,Value
1714422523.6670847,49,0.5927127599716187
1714422534.727956,99,0.6561626195907593
1714422544.7889192,149,0.6675150990486145
1714422554.1645339,199,0.7585132718086243
1714422563.1183841,249,0.5717654824256897
1714422571.6295033,299,0.5491905212402344
1714422599.173325,349,0.6884263753890991
1714422608.9516613,399,0.39285653829574585
1714422617.9048796,449,0.12911278009414673
1714422626.3481486,499,0.20169878005981445
1714422634.7682784,549,0.13369044661521912
1714422643.3008335,599,0.26141685247421265
